Loads checkpoint by local backend from path: /home/afr/pose-models/exp386_vitpose_huge_coco/td-hm_ViTPose-huge_8xb64-210e_coco-256x192-e32adcd4_20230314.pth
The model and loaded state dict do not match exactly

unexpected key in source state_dict: backbone.cls_token

processed=100/12936 elapsed=3.2s images_per_second=30.78
processed=200/12936 elapsed=6.1s images_per_second=33.06
processed=300/12936 elapsed=8.8s images_per_second=33.90
processed=400/12936 elapsed=11.6s images_per_second=34.37
processed=500/12936 elapsed=14.4s images_per_second=34.65
processed=600/12936 elapsed=17.2s images_per_second=34.84
processed=700/12936 elapsed=20.0s images_per_second=34.99
processed=800/12936 elapsed=22.8s images_per_second=35.07
processed=900/12936 elapsed=25.6s images_per_second=35.16
processed=1000/12936 elapsed=28.4s images_per_second=35.21
processed=1100/12936 elapsed=31.2s images_per_second=35.26
processed=1200/12936 elapsed=34.0s images_per_second=35.30
processed=1300/12936 elapsed=36.8s images_per_second=35.32
processed=1400/12936 elapsed=39.6s images_per_second=35.35
processed=1500/12936 elapsed=42.4s images_per_second=35.38
processed=1600/12936 elapsed=45.2s images_per_second=35.40
processed=1700/12936 elapsed=48.0s images_per_second=35.41
processed=1800/12936 elapsed=50.8s images_per_second=35.43
processed=1900/12936 elapsed=53.6s images_per_second=35.44
processed=2000/12936 elapsed=56.4s images_per_second=35.46
processed=2100/12936 elapsed=59.2s images_per_second=35.46
processed=2200/12936 elapsed=62.0s images_per_second=35.48
processed=2300/12936 elapsed=64.8s images_per_second=35.49
processed=2400/12936 elapsed=67.6s images_per_second=35.49
processed=2500/12936 elapsed=70.4s images_per_second=35.50
processed=2600/12936 elapsed=73.2s images_per_second=35.51
processed=2700/12936 elapsed=76.0s images_per_second=35.51
processed=2800/12936 elapsed=78.8s images_per_second=35.52
processed=2900/12936 elapsed=81.6s images_per_second=35.52
processed=3000/12936 elapsed=84.4s images_per_second=35.53
processed=3100/12936 elapsed=87.2s images_per_second=35.54
processed=3200/12936 elapsed=90.0s images_per_second=35.54
processed=3300/12936 elapsed=92.8s images_per_second=35.55
processed=3400/12936 elapsed=95.6s images_per_second=35.55
processed=3500/12936 elapsed=98.4s images_per_second=35.56
processed=3600/12936 elapsed=101.2s images_per_second=35.56
processed=3700/12936 elapsed=104.0s images_per_second=35.56
processed=3800/12936 elapsed=106.8s images_per_second=35.57
processed=3900/12936 elapsed=109.7s images_per_second=35.57
processed=4000/12936 elapsed=112.5s images_per_second=35.57
processed=4100/12936 elapsed=115.3s images_per_second=35.57
processed=4200/12936 elapsed=118.1s images_per_second=35.58
processed=4300/12936 elapsed=120.9s images_per_second=35.58
processed=4400/12936 elapsed=123.7s images_per_second=35.58
processed=4500/12936 elapsed=126.5s images_per_second=35.58
processed=4600/12936 elapsed=129.3s images_per_second=35.58
processed=4700/12936 elapsed=132.1s images_per_second=35.58
processed=4800/12936 elapsed=134.9s images_per_second=35.58
processed=4900/12936 elapsed=137.7s images_per_second=35.58
processed=5000/12936 elapsed=140.5s images_per_second=35.58
processed=5100/12936 elapsed=143.3s images_per_second=35.58
processed=5200/12936 elapsed=146.2s images_per_second=35.58
