Loads checkpoint by local backend from path: /home/afr/pose-models/exp386_vitpose_huge_coco/td-hm_ViTPose-huge_8xb64-210e_coco-256x192-e32adcd4_20230314.pth
The model and loaded state dict do not match exactly

unexpected key in source state_dict: backbone.cls_token

processed=100/15618 elapsed=3.2s images_per_second=31.17
processed=200/15618 elapsed=6.0s images_per_second=33.39
processed=300/15618 elapsed=8.8s images_per_second=34.16
processed=400/15618 elapsed=11.6s images_per_second=34.58
processed=500/15618 elapsed=14.3s images_per_second=34.85
processed=600/15618 elapsed=17.1s images_per_second=34.99
processed=700/15618 elapsed=19.9s images_per_second=35.13
processed=800/15618 elapsed=22.7s images_per_second=35.21
processed=900/15618 elapsed=25.5s images_per_second=35.27
processed=1000/15618 elapsed=28.3s images_per_second=35.31
processed=1100/15618 elapsed=31.1s images_per_second=35.35
processed=1200/15618 elapsed=33.9s images_per_second=35.38
processed=1300/15618 elapsed=36.7s images_per_second=35.41
processed=1400/15618 elapsed=39.5s images_per_second=35.43
processed=1500/15618 elapsed=42.3s images_per_second=35.45
processed=1600/15618 elapsed=45.1s images_per_second=35.46
processed=1700/15618 elapsed=47.9s images_per_second=35.48
processed=1800/15618 elapsed=50.7s images_per_second=35.50
processed=1900/15618 elapsed=53.5s images_per_second=35.52
processed=2000/15618 elapsed=56.3s images_per_second=35.53
processed=2100/15618 elapsed=59.1s images_per_second=35.55
processed=2200/15618 elapsed=61.9s images_per_second=35.56
processed=2300/15618 elapsed=64.7s images_per_second=35.57
processed=2400/15618 elapsed=67.4s images_per_second=35.58
processed=2500/15618 elapsed=70.2s images_per_second=35.60
processed=2600/15618 elapsed=73.0s images_per_second=35.60
processed=2700/15618 elapsed=75.8s images_per_second=35.61
processed=2800/15618 elapsed=78.6s images_per_second=35.62
processed=2900/15618 elapsed=81.4s images_per_second=35.62
processed=3000/15618 elapsed=84.2s images_per_second=35.62
processed=3100/15618 elapsed=87.0s images_per_second=35.62
processed=3200/15618 elapsed=89.8s images_per_second=35.62
processed=3300/15618 elapsed=92.6s images_per_second=35.63
processed=3400/15618 elapsed=95.4s images_per_second=35.63
processed=3500/15618 elapsed=98.2s images_per_second=35.63
processed=3600/15618 elapsed=101.0s images_per_second=35.63
processed=3700/15618 elapsed=103.8s images_per_second=35.63
processed=3800/15618 elapsed=106.6s images_per_second=35.64
processed=3900/15618 elapsed=109.4s images_per_second=35.64
processed=4000/15618 elapsed=112.2s images_per_second=35.64
processed=4100/15618 elapsed=115.0s images_per_second=35.64
processed=4200/15618 elapsed=117.8s images_per_second=35.64
processed=4300/15618 elapsed=120.6s images_per_second=35.64
processed=4400/15618 elapsed=123.4s images_per_second=35.64
processed=4500/15618 elapsed=126.2s images_per_second=35.65
processed=4600/15618 elapsed=129.0s images_per_second=35.65
processed=4700/15618 elapsed=131.8s images_per_second=35.65
processed=4800/15618 elapsed=134.6s images_per_second=35.65
processed=4900/15618 elapsed=137.4s images_per_second=35.65
processed=5000/15618 elapsed=140.2s images_per_second=35.65
processed=5100/15618 elapsed=143.0s images_per_second=35.65
processed=5200/15618 elapsed=145.8s images_per_second=35.65
processed=5300/15618 elapsed=148.6s images_per_second=35.66
processed=5400/15618 elapsed=151.5s images_per_second=35.66
processed=5500/15618 elapsed=154.3s images_per_second=35.66
processed=5600/15618 elapsed=157.1s images_per_second=35.66
processed=5700/15618 elapsed=159.9s images_per_second=35.66
processed=5800/15618 elapsed=162.7s images_per_second=35.66
processed=5900/15618 elapsed=165.5s images_per_second=35.66
processed=6000/15618 elapsed=168.3s images_per_second=35.66
processed=6100/15618 elapsed=171.1s images_per_second=35.66
